feature_number,features,r_sq_score
1,HalopropSpin,0.644717812692908
2,GalpropNormMHII,0.7636231080614474
3,GalpropNormSigmaBulge,0.8436183249386774
4,GalpropNormMstar_merge,0.8855125722776918
5,GalpropNormMstar,0.9238293387382747
6,HalopropC_nfw,0.9443396570808106
7,GalpropNormMbulge,0.954306119666092
8,GalpropNormMH2,0.9558968833349875
9,GalpropNormMHI,0.9560376881596593
10,GalpropTmerger,0.9562766181556014
11,HalopropNormMstar_diffuse,0.9563340535200909
12,HalopropZhot,0.9559679024308892
13,GalpropZstar,0.9565633129861864
14,GalpropSfrave1gyr,0.9565256138826937
15,HalopropMcooldot,0.956477545269446
16,GalpropMu_merger,0.9559771209182695
17,GalpropNormMcold,0.9561550644912241
