feature_number,features,r_sq_score
1,HalopropSpin,0.9290036870002947
2,HalopropC_nfw,0.9819152432645151
3,GalpropNormMstar,0.9882934250594939
4,GalpropNormMcold,0.9906180974970716
5,GalpropNormSigmaBulge,0.9911852947689358
6,GalpropNormMH2,0.9915227107981762
7,GalpropMaccdot_radio,0.9917075495482056
8,GalpropSfrave20myr,0.9916976939378689
9,GalpropZcold,0.9916293825400803
10,GalpropNormMHII,0.9916245473568281
11,HalopropZhot,0.9914187947545711
12,GalpropNormMBH,0.991600340582386
13,GalpropMstrip,0.9914550909364207
14,GalpropTmerger_major,0.9914891582946582
15,GalpropZstar,0.9912372330276037
16,GalpropOutflowRate_Mass,0.9914147931270517
17,HalopropMcooldot,0.9913070837856711
