feature_number,features,r_sq_score
1,HalopropSpin,0.9257162772083128
2,HalopropC_nfw,0.9821689918978852
3,GalpropNormSigmaBulge,0.9888311930787861
4,GalpropNormMcold,0.9921702967263154
5,GalpropNormMstar,0.9931356209048712
6,GalpropSfrave100myr,0.9931922832037879
7,HalopropNormMass_ejected,0.9932218048647181
8,GalpropNormMHI,0.9931252223858807
9,GalpropNormMbulge,0.9932634667133815
10,GalpropMaccdot_radio,0.993113673054968
11,GalpropOutflowRate_Mass,0.9932446952837287
12,GalpropTmerger_major,0.9930209221138954
13,HalopropZhot,0.9929943405856162
14,GalpropSfr,0.9930846428609182
15,GalpropMstrip,0.992958597856786
16,GalpropOutflowRate_Metal,0.9930892480115459
17,HalopropMcooldot,0.9928948462563442
